ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Pérdida de desnivel,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,"<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,"<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: es-ES.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Multimedia
2380197684,19 may. 2019 9:00:27,Entrenamiento a la hora del almuerzo,Bicicleta,,7659,"48,42",,,false,,,activities/2531375599.fit.gz,0.0,,,7611.0,48425.5,14.199999809265137,,445.0,376.0,232.8000030517578,402.0,33.099998474121094,0.012803171761333942,,,,,,,,,1390.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2380209051,3 mar. 2019 10:29:08,Entrenamiento a la hora del almuerzo,Bicicleta,,6763,"45,66",,,false,,,activities/2531387285.fit.gz,0.0,,,6716.0,45660.0,16.600000381469727,,306.0,287.0,86.4000015258789,236.39999389648438,20.700000762939453,0.021901007741689682,,,,,,,,,1324.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2380216559,9 feb. 2019 10:14:33,Entrenamiento a la hora del almuerzo,Bicicleta,,4610,"29,79",,,false,,,activities/2531395171.fit.gz,0.0,,,4549.0,29790.400390625,10.800000190734863,,192.0,193.0,122.0,229.39999389648438,11.399999618530273,-0.004028143361210823,,,,,,,,,811.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2380221641,2 feb. 2019 11:01:21,Entrenamiento a la hora del almuerzo,Bicicleta,,2797,"12,88",,,false,,,activities/2531400345.fit.gz,0.0,,,2797.0,12888.900390625,18.899999618530273,,172.0,142.0,293.6000061035156,343.6000061035156,32.5,-0.009310336783528328,,,,,,,,,414.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2399135274,26 may. 2019 8:58:36,Ciclismo por la mañana,Bicicleta,,10665,"67,34",,,false,,,activities/2550907662.fit.gz,0.0,,,10665.0,67340.703125,16.600000381469727,,542.0,499.0,165.39999389648438,429.6000061035156,18.299999237060547,0.01811682991683483,,,,,,,,,2038.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2413665611,1 jun. 2019 7:55:05,Ciclismo por la mañana,Bicicleta,,5617,"35,00",,,false,,,activities/2565949361.fit.gz,0.0,,,5362.0,35007.19921875,17.100000381469727,,280.0,258.0,81.5999984741211,181.60000610351562,26.0,0.01028359867632389,,,,,,,,,1002.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2429190318,6 jun. 2019 17:39:16,Atletismo al anochecer,Carrera,,6609,"21,20",,,false,,,activities/2429190318.gpx,0.0,,,6534.0,21206.5,15.300000190734863,,137.08749389648438,135.48699951171875,217.6999969482422,249.60000610351562,29.299999237060547,0.007544856518507004,,,,,,,,,1846.264892578125,,,,,,,,,,,,,,,,,,,21466.30078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2461068326,18 jun. 2019 18:44:37,Atletismo al anochecer,Carrera,,662,"2,40",,,false,,,activities/2461068326.gpx,0.0,,,654.0,2404.60009765625,9.699999809265137,,32.06739807128906,42.06740188598633,220.8000030517578,244.8000030517578,16.899999618530273,-0.4158695936203003,,,,,,,,,211.5786895751953,,,,,,,,,,,,,,,,,,,2460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2469090300,21 jun. 2019 16:34:11,Ciclismo al anochecer,Bicicleta,,7936,"55,60",,,false,,,activities/2623293735.fit.gz,0.0,,,7936.0,55602.6015625,16.299999237060547,,463.0,448.0,202.0,407.20001220703125,12.5,0.003237258642911911,,,,,,,,,1530.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2469091126,2 jun. 2019 15:51:58,Ciclismo por la tarde,Bicicleta,"",1258,"9,78",,,false,,,activities/2623294702.fit.gz,0.0,,,1182.0,9780.5,11.699999809265137,,45.0,50.0,190.0,229.0,43.5,0.0858851820230484,,,,,,,,,211.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2532266728,14 jul. 2019 9:54:30,Entrenamiento a la hora del almuerzo,Bicicleta,,17005,"60,27",,,false,,,activities/2688366375.fit.gz,0.0,,17005.0,12230.0,60277.5,21.299999237060547,,1584.0,1389.0,684.5999755859375,1508.5999755859375,29.100000381469727,0.01625813916325569,,,,,,,,,2051.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2532272598,7 jul. 2019 17:38:56,Ciclismo al anochecer,Bicicleta,,4875,"32,40",,,false,,,activities/2688372864.fit.gz,0.0,,4875.0,4683.0,32403.30078125,11.699999809265137,,157.0,188.0,231.0,341.79998779296875,8.399999618530273,-0.09134872257709503,,,,,,,,,825.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2532279533,23 jun. 2019 16:40:57,Ciclismo al anochecer,Bicicleta,,4976,"31,00",,,false,,,activities/2688379982.fit.gz,0.0,,4976.0,4976.0,31004.099609375,9.699999809265137,,164.0,164.0,209.1999969482422,321.79998779296875,17.399999618530273,-0.014191671274602413,,,,,,,,,863.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2550004148,20 jul. 2019 6:53:03,Ciclismo por la mañana,Bicicleta,,8281,"25,10",,,false,,,activities/2706610608.fit.gz,0.0,,8281.0,7274.0,25105.599609375,16.899999618530273,,1161.0,285.0,786.0,1978.4000244140625,49.599998474121094,3.6374354362487793,,,,,,,,,1261.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2550008420,19 jul. 2019 9:53:37,Entrenamiento a la hora del almuerzo,Bicicleta,,5338,"14,60",,,false,,,activities/2706616007.fit.gz,0.0,,5338.0,3588.0,14607.0,16.600000381469727,,518.0,471.0,1254.199951171875,1768.199951171875,32.79999923706055,0.03423016518354416,,,,,,,,,554.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2550012312,18 jul. 2019 14:49:27,Ciclismo por la tarde,Bicicleta,,2071,"13,72",,,false,,,activities/2706620105.fit.gz,0.0,,2071.0,2041.0,13721.2001953125,11.800000190734863,,64.0,570.0,694.5999755859375,1263.0,7.599999904632568,-3.7416553497314453,,,,,,,,,257.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
